main_artist,id,name,popularity,genres
Summer Walker,1HwM5zlC5qNWhJtM00yXzG,Mac Miller,80,"['hip hop', 'pittsburgh rap', 'pop rap', 'rap']"
Jacquees,7xTKLpo7UCzXSnlH7fOIoM,Lil Uzi Vert,83,"['hip hop', 'melodic rap', 'philly rap', 'rage rap', 'rap']"
Brent Faiyaz,7iMvwE8qANp3aIfAGKEAwS,Chance the Rapper,70,"['chicago rap', 'conscious hip hop', 'hip hop', 'pop rap', 'rap']"
Roy Woods,50UMTib697JJ44le8DO2Va,Lil Wayne,83,"['hip hop', 'new orleans rap', 'pop rap', 'rap', 'trap']"
Jhené Aiko,2B4ZHz4QDWJTXPFPgO5peE,Young Thug,81,"['atl hip hop', 'atl trap', 'gangster rap', 'melodic rap', 'rap', 'trap']"
Sonder,2hPgGN4uhvXAxiXQBIXOmE,Common,58,"['alternative hip hop', 'chicago rap', 'conscious hip hop', 'hardcore hip hop', 'hip hop', 'political hip hop']"
Miguel,5IcR3N7QB1j6KBL8eImZ8m,Talib Kweli,51,"['conscious hip hop', 'east coast hip hop']"
Ty Dolla $ign,2P5sC9cVZDToPxyomzF1UH,Mos Def,62,"['conscious hip hop', 'east coast hip hop', 'hip hop']"
Jeremih,0ONHkAv9pCAFxb0zJwDNTy,Big Boi,51,"['atl hip hop', 'dirty south rap', 'hip hop', 'southern hip hop']"
PnB Rock,01QTIT5P1pFP3QnnFSdsJf,Clipse,48,"['alternative hip hop', 'hardcore hip hop', 'hip hop', 'southern hip hop', 'virginia hip hop']"
Majid Jordan,6fxyWrfmjcbj5d12gXeiNV,Big K.R.I.T.,54,"['conscious hip hop', 'hip hop', 'mississippi hip hop', 'southern hip hop', 'trap']"
Teyana Taylor,1anyVhU62p31KFi8MEzkbf,Ab-Soul,54,"['conscious hip hop', 'hip hop', 'rap', 'underground hip hop']"
H.E.R.,13ubrt8QOOCPljQ2FL1Kca,"Royce Da 5'9""",54,"['detroit hip hop', 'gangster rap', 'hardcore hip hop', 'hip hop']"
Kehlani,3A5tHz1SfngyOZM2gItYKu,B.o.B,70,"['atl hip hop', 'dance pop', 'pop rap', 'rap', 'southern hip hop']"
DeJ Loaf,68kEuyFKyqrdQQLLsmiatm,Pusha T,69,"['gangster rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap', 'virginia hip hop']"
Wale,4LLpKhyESsyAXpc4laK94U,Asher Roth,42,['indie pop rap']
Lil Wayne,5dHt1vcEm9qb8fCyLcB3HL,Jay Electronica,55,"['alternative hip hop', 'conscious hip hop', 'drumless hip hop', 'hip hop', 'psychedelic hip hop']"
T.I.,5SXuuuRpukkTvsLuUknva1,T.I.,71,"['atl hip hop', 'dirty south rap', 'gangster rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']"
Gucci Mane,6aaMZ3fcfLv4tEbmY7bjRM,Q-Tip,56,"['east coast hip hop', 'queens hip hop']"
2 Chainz,7yO4IdJjCEPz7YgZMe25iS,Black Thought,53,"['alternative hip hop', 'east coast hip hop']"
Rick Ross,6U3ybJ9UHNKEdsH7ktGBZ7,N.E.R.D,53,"['hip hop', 'virginia hip hop']"
Jeezy,3Gm5F95VdRxW3mqCn8RPBJ,Wale,67,"['pop rap', 'r&b', 'rap', 'southern hip hop', 'trap']"
Wiz Khalifa,73sIBHcqh3Z3NyqHKZ7FOL,Black Star,49,"['east coast hip hop', 'hip hop', 'political hip hop']"
JAY-Z,5xpkLC1MxiPRiIJUDEzuVm,VIC MENSA,55,"['canadian hip hop', 'chicago rap', 'conscious hip hop', 'underground hip hop']"
Meek Mill,1Bl6wpkWCQ4KVgnASpvzzA,Jay Rock,69,"['conscious hip hop', 'hip hop', 'rap', 'southern hip hop', 'trap']"
Young Money,30fiiwr2EeZp1tAhzYCmyM,André 3000,60,"['atl hip hop', 'dirty south rap', 'hip hop', 'southern hip hop']"
T-Pain,3PyWEKLWI0vHPmoNrIX0QE,A Tribe Called Quest,64,"['conscious hip hop', 'east coast hip hop', 'golden age hip hop', 'hip hop', 'jazz rap', 'queens hip hop']"
Ludacris,7xTKLpo7UCzXSnlH7fOIoM,Mos Def,62,"['conscious hip hop', 'east coast hip hop', 'hip hop']"
Waka Flocka Flame,2yQf6b8hxahZaT5dHlWaB1,Nas,71,"['conscious hip hop', 'east coast hip hop', 'gangster rap', 'hardcore hip hop', 'hip hop', 'queens hip hop', 'rap']"
Ty Dolla $ign,2Xu7q46Hf02xOoEIm4E1Qs,Wu-Tang Clan,65,"['east coast hip hop', 'gangster rap', 'hardcore hip hop', 'hip hop', 'rap']"
Juicy J,6FD0unjzGQhX3b6eMccMJe,The Roots,56,"['conscious hip hop', 'east coast hip hop', 'hip hop', 'philly rap', 'political hip hop']"
Yo Gotti,6ns6XAOsw4B0nDUIovAOUO,Big Boi,51,"['atl hip hop', 'dirty south rap', 'hip hop', 'southern hip hop']"
Big Sean,50NoVNy9GU1lCrDV8iGpyu,Common,58,"['alternative hip hop', 'chicago rap', 'conscious hip hop', 'hardcore hip hop', 'hip hop', 'political hip hop']"
Kevin Gates,4VmEWwd8y9MCLwexFMdpwt,The Pharcyde,55,"['alternative hip hop', 'hardcore hip hop', 'hip hop', 'jazz rap', 'west coast rap']"
Young Thug,6KVPfr3ujUkKOrJf4QeRWD,Goodie Mob,42,"['atl hip hop', 'conscious hip hop', 'dirty south rap', 'hardcore hip hop', 'old school atlanta hip hop', 'southern hip hop']"
Tyga,4iCwCMnqsNZ6atvRiADgtn,Freddie Gibbs,62,"['alternative hip hop', 'hip hop', 'indiana hip hop', 'rap', 'underground hip hop']"
Kodak Black,5cMgGlA1xGyeAB2ctYlRdZ,Black Star,49,"['east coast hip hop', 'hip hop', 'political hip hop']"
Eminem,1BH45DVSTeGBvcYXNCd67g,De La Soul,58,"['east coast hip hop', 'golden age hip hop', 'hip hop', 'jazz rap']"
Dr. Dre,10Khz9BDdDT2mzm3330Cvu,Danny Brown,60,"['alternative hip hop', 'detroit hip hop', 'escape room', 'hip hop', 'underground hip hop']"
Eazy-E,7HqrSDuI9lHuH1CDismTFg,Madvillain,62,"['abstract hip hop', 'alternative hip hop', 'hip hop', 'psychedelic hip hop']"
Ice Cube,2gINJ8xw86xawPyGvx1bla,J Dilla,55,"['alternative hip hop', 'detroit hip hop', 'hip hop', 'instrumental hip hop']"
N.W.A.,0Mz5XE0kb1GBnbLQm2VbcO,Gang Starr,61,"['alternative hip hop', 'conscious hip hop', 'east coast hip hop', 'hip hop']"
Xzibit,4OBbOrkD4geIjOLrICN3wO,Fugees,63,"['east coast hip hop', 'hip hop', 'neo soul', 'new jersey rap']"
Snoop Dogg,6jHG1YQkqgojdEzerwvrVv,Mobb Deep,64,"['east coast hip hop', 'hardcore hip hop', 'hip hop', 'queens hip hop']"
Nate Dogg,099tLNCZZvtjC7myKD0mFp,Ol' Dirty Bastard,62,"['east coast hip hop', 'hardcore hip hop', 'hip hop']"
DMX,5gCRApTajqwbnHHPbr2Fpi,G-Unit,59,"['gangster rap', 'hardcore hip hop', 'hip hop', 'nyc rap', 'pop rap', 'queens hip hop', 'rap', 'southern hip hop']"
50 Cent,6Ha4aES39QiVjR0L2lwuwq,Lloyd Banks,60,"['detroit hip hop', 'gangster rap', 'hardcore hip hop', 'hip hop', 'pop rap', 'queens hip hop', 'rap', 'trap']"
The Notorious B.I.G.,6f4XkbvYlXMH0QgVRzW0sM,Fat Joe,65,"['bronx hip hop', 'east coast hip hop', 'gangster rap', 'hardcore hip hop', 'hip hop', 'pop rap', 'rap', 'trap']"
Warren G,13y7CgLHjMVRMDqxdx0Xdo,Young Buck,56,"['crunk', 'dirty south rap', 'nashville hip hop']"
Busta Rhymes,1sBkRIssrMs1AbVkOJbc7a,Xzibit,63,"['detroit hip hop', 'g funk', 'gangster rap', 'hardcore hip hop', 'hip hop', 'west coast rap']"
The Game,0NWbwDZY1VkRqFafuQm6wk,Nate Dogg,73,"['g funk', 'gangster rap', 'hardcore hip hop', 'hip hop', 'west coast rap']"
G-Unit,7c0XG5cIJTrrAgEC3ULPiq,Jadakiss,62,"['battle rap', 'east coast hip hop', 'trap']"
D12,5lHRUCqkQZCIWeX7xG4sYT,Obie Trice,55,"['detroit hip hop', 'gangster rap']"
Makaveli,6vXTefBL93Dj5IqAWq6OTv,Fabolous,63,"['gangster rap', 'hip hop', 'pop rap', 'rap', 'trap', 'urban contemporary']"
Method Man,0A0FS04o6zMoto8OKPsDwY,Makaveli,54,"['gangster rap', 'hip hop', 'singeli']"
2Pac,5OrB6Jhhrl9y2PK0pSV4VP,Juelz Santana,60,"['gangster rap', 'harlem hip hop', 'hip pop', 'nyc rap', 'pop rap', 'trap']"
ICE-T,20sxb77xiYeusSH8cVdatc,Busta Rhymes,69,"['east coast hip hop', 'hardcore hip hop', 'hip hop', 'pop rap', 'rap']"
Mobb Deep,4yBK75WVCQXej1p04GWqxH,T.I.,71,"['atl hip hop', 'dirty south rap', 'gangster rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']"
Westside Connection,31HjiqargV4NAw4GZqUale,Method Man,67,"['east coast hip hop', 'hardcore hip hop', 'hip hop']"
50 Cent,0c173mlxpT3dSFRgMO8XPh,Cassidy,44,"['battle rap', 'hardcore hip hop', 'hip pop', 'philly rap', 'southern hip hop', 'trap']"
Dr. Dre,67nwj3Y5sZQLl72VNUHEYE,DMX,67,"['east coast hip hop', 'gangster rap', 'hardcore hip hop', 'hip hop', 'rap']"
G-Unit,5dHt1vcEm9qb8fCyLcB3HL,Redman,61,"['east coast hip hop', 'hardcore hip hop', 'new jersey rap', 'wu fam']"
The Game,4OBJLual30L7gRl5UkeRcT,Cam'ron,56,"['battle rap', 'east coast hip hop', 'harlem hip hop', 'southern hip hop']"
Ice Cube,0VRj0yCOv2FXJNP47XQnx5,Tony Yayo,52,"['dirty south rap', 'hip hop', 'queens hip hop']"
Snoop Dogg,1Zatb2YN4erBOoSivOXc0o,Warren G,60,"['g funk', 'gangster rap', 'hardcore hip hop', 'hip hop', 'west coast rap']"
DMX,2x8KDZdSONA3872CnhaAlX,KIDS SEE GHOSTS,57,['rap']
Xzibit,0A7g2YbCA9FlyZvAG6VmKP,ScHoolboy Q,69,"['gangster rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']"
Eazy-E,0tCtGc5vt29zFZp6KXzN50,Joey Bada$$,70,"['conscious hip hop', 'hip hop', 'rap']"
