main_artist,id,name,popularity,genres
Ruff Ryders,2gINJ8xw86xawPyGvx1bla,The Diplomats,42,"['hardcore hip hop', 'harlem hip hop', 'southern hip hop']"
Makaveli,5cMgGlA1xGyeAB2ctYlRdZ,DJ Clue,38,"['dirty south rap', 'east coast hip hop']"
Jadakiss,0Mz5XE0kb1GBnbLQm2VbcO,Juelz Santana,60,"['gangster rap', 'harlem hip hop', 'hip pop', 'nyc rap', 'pop rap', 'trap']"
Ludacris,4OBbOrkD4geIjOLrICN3wO,Jim Jones,52,"['gangster rap', 'harlem hip hop', 'trap']"
Ja Rule,3PyWEKLWI0vHPmoNrIX0QE,Memphis Bleek,44,['east coast hip hop']
Lloyd Banks,30fiiwr2EeZp1tAhzYCmyM,Shyne,41,"['gangster rap', 'hardcore hip hop', 'hip pop', 'jewish hip hop', 'southern hip hop']"
Warren G,09hVIj6vWgoCDtT03h8ZCa,N.O.R.E.,52,"['dirty south rap', 'gangster rap', 'hardcore hip hop', 'hip hop', 'queens hip hop', 'southern hip hop']"
Mobb Deep,20qISvAhX20dpIbOOzGK3q,Swizz Beatz,59,"['battle rap', 'dirty south rap', 'southern hip hop', 'trap']"
Ol' Dirty Bastard,10Khz9BDdDT2mzm3330Cvu,Uncle Murda,42,"['battle rap', 'nyc rap']"
Bone Thugs-N-Harmony,6Mo9PoU6svvhgEum7wh2Nd,Joe Budden,46,"['battle rap', 'new jersey rap']"
Ice Cube,7yk35uHNQclPXFGFoTU44w,Young Gunz,32,"['dirty south rap', 'philly rap']"
Eazy-E,6jHG1YQkqgojdEzerwvrVv,Ruff Ryders,38,"['dirty south rap', 'gangster rap', 'hardcore hip hop', 'hip pop', 'southern hip hop']"
N.W.A.,3fJ60AcIgLzQkVitEvA7uq,Black Star,48,"['east coast hip hop', 'hip hop', 'political hip hop']"
ICE-T,6CsOL9C9iLL0eWKINlDxzQ,Talib Kweli,51,"['conscious hip hop', 'east coast hip hop']"
Nate Dogg,6GEykX11lQqp92UVOQQCC7,Q-Tip,56,"['east coast hip hop', 'queens hip hop']"
Warren G,6ns6XAOsw4B0nDUIovAOUO,Common,58,"['alternative hip hop', 'chicago rap', 'conscious hip hop', 'hardcore hip hop', 'hip hop', 'political hip hop']"
Westside Connection,67ei8ib6PLT1w3OkhIb4fB,The Roots,56,"['conscious hip hop', 'east coast hip hop', 'hip hop', 'philly rap', 'political hip hop']"
Xzibit,30fiiwr2EeZp1tAhzYCmyM,RZA,61,"['east coast hip hop', 'hardcore hip hop']"
Dr. Dre,6xyaria4AcxjRuJZLkWvMW,Rakim,54,['east coast hip hop']
The Notorious B.I.G.,3zpKjsMg2gw1St5WcWoUJN,Ghostface Killah,63,"['east coast hip hop', 'hardcore hip hop']"
Too $hort,2gINJ8xw86xawPyGvx1bla,GZA,59,"['east coast hip hop', 'hardcore hip hop']"
Bone Thugs-N-Harmony,3PyWEKLWI0vHPmoNrIX0QE,De La Soul,57,"['east coast hip hop', 'golden age hip hop', 'hip hop', 'jazz rap']"
Method Man,1wo9h8DP7M0M1orKuGZgWv,KRS-One,50,"['bronx hip hop', 'conscious hip hop', 'east coast hip hop', 'golden age hip hop', 'hardcore hip hop', 'hip hop', 'old school hip hop', 'political hip hop']"
Makaveli,3BeQqzKdlARoOd6y30kCO2,Pharoahe Monch,48,"['conscious hip hop', 'east coast hip hop', 'queens hip hop']"
Snoop Dogg,2p0Hf0MF8Nw8lwAXokczf0,Raekwon,65,"['east coast hip hop', 'hardcore hip hop']"
2Pac,4OBbOrkD4geIjOLrICN3wO,Gang Starr,61,"['alternative hip hop', 'conscious hip hop', 'east coast hip hop', 'hip hop']"
Busta Rhymes,2yQf6b8hxahZaT5dHlWaB1,The Pharcyde,55,"['alternative hip hop', 'hardcore hip hop', 'hip hop', 'jazz rap', 'west coast rap']"
Mobb Deep,0auu2itHTxEdAMRHvx7CyG,Redman,61,"['east coast hip hop', 'hardcore hip hop', 'new jersey rap', 'wu fam']"
Naughty By Nature,6jHG1YQkqgojdEzerwvrVv,Ol' Dirty Bastard,62,"['east coast hip hop', 'hardcore hip hop', 'hip hop']"
LL COOL J,2yN6bq26wynQcRuPkBYTDb,Pete Rock & C.L. Smooth,44,"['east coast hip hop', 'jazz rap']"
DMX,3YyZFf9ZN2YbkqeZia8zHX,Eric B. & Rakim,49,"['bboy', 'east coast hip hop', 'golden age hip hop', 'hip hop', 'old school hip hop']"
Post Malone,099tLNCZZvtjC7myKD0mFp,Slum Village,51,"['alternative hip hop', 'detroit hip hop', 'hardcore hip hop', 'hip hop']"
